"﻿""Event"""	Job	Job Location	Job Description	Job Rate	Shift start date	Shift start time	Shift end date	Shift end time	Shift Description	Shift Information	Disclaimer	Confirmed	Checked In	Checked In (via app)	Checked Out	Checked Out (via app)	Parent ID	Sub-Volunteer ID	Signup Date	Signup Time	Volunteer Identifier	Email	First Name	Last Name	Phone Number	
San Diego Startup Week 2018	Adobe Creative Jam Support	Moniker Wharehouse	The Thursday shift is located at Moniker Warehouse while the Friday shift is located at Downtown Works.	0.00	2018-06-28	06:15 PM	2018-06-28	11:00 PM	Hanging posters, Setting up chairs, Registration desk, Managing the Behance Portfolio Station, Taking down chairs, Generally keeping things tidy.			1					0	1960460	2018-06-22	01:45 AM	1765287	LorrettaLiberto@example.com	Lorretta	Liberto	(619) 555-9512	
San Diego Startup Week 2018	Adobe Creative Jam Support	Moniker Wharehouse	The Thursday shift is located at Moniker Warehouse while the Friday shift is located at Downtown Works.	0.00	2018-06-28	06:15 PM	2018-06-28	11:00 PM	Hanging posters, Setting up chairs, Registration desk, Managing the Behance Portfolio Station, Taking down chairs, Generally keeping things tidy.			1					0	1960463	2018-06-22	01:46 AM	1752574	MaryjaneMcculler@example.com	Maryjane	Mcculler	(858) 555-1593	
San Diego Startup Week 2018	Adobe Creative Jam Support	Moniker Wharehouse	The Thursday shift is located at Moniker Warehouse while the Friday shift is located at Downtown Works.	0.00	2018-06-28	06:15 PM	2018-06-28	11:00 PM	Hanging posters, Setting up chairs, Registration desk, Managing the Behance Portfolio Station, Taking down chairs, Generally keeping things tidy.			1					0	1961098	2018-06-22	11:48 AM	1752789	BobbieBaldon@example.com	Bobbie	Baldon	(619) 555-0328	
San Diego Startup Week 2018	Adobe Creative Jam Support	Moniker Wharehouse	The Thursday shift is located at Moniker Warehouse while the Friday shift is located at Downtown Works.	0.00	2018-06-28	06:15 PM	2018-06-28	11:00 PM	Hanging posters, Setting up chairs, Registration desk, Managing the Behance Portfolio Station, Taking down chairs, Generally keeping things tidy.			1					0	1963691	2018-06-25	02:55 AM	1770329	SherrillSturgis@example.com	Sherrill	Sturgis	(619) 555-6758	
San Diego Startup Week 2018	Adobe Creative Jam Support	Moniker Wharehouse	The Thursday shift is located at Moniker Warehouse while the Friday shift is located at Downtown Works.	0.00	2018-06-28	06:15 PM	2018-06-28	11:00 PM	Hanging posters, Setting up chairs, Registration desk, Managing the Behance Portfolio Station, Taking down chairs, Generally keeping things tidy.			1					0	1968387	2018-06-27	03:21 PM	1772602	SharonSaladin@example.com	Sharon	Saladin	(619) 555-3186	
San Diego Startup Week 2018	Adobe Creative Jam Support	Moniker Wharehouse	The Thursday shift is located at Moniker Warehouse while the Friday shift is located at Downtown Works.	0.00	2018-06-28	06:15 PM	2018-06-28	11:00 PM	Hanging posters, Setting up chairs, Registration desk, Managing the Behance Portfolio Station, Taking down chairs, Generally keeping things tidy.																	
San Diego Startup Week 2018	Adobe Creative Jam Support	Downtown Works	The Thursday shift is located at Moniker Warehouse while the Friday shift is located at Downtown Works.	0.00	2018-06-29	11:45 PM	2018-06-30	02:00 PM	Setup, Registration, Cleanup			1					0	1962747	2018-06-23	11:47 PM	1752941	BobbieBaldon@example.com	Bobbie	Baldon	(619) 555-7922	
San Diego Startup Week 2018	Adobe Creative Jam Support	Downtown Works	The Thursday shift is located at Moniker Warehouse while the Friday shift is located at Downtown Works.	0.00	2018-06-29	11:45 PM	2018-06-30	02:00 PM	Setup, Registration, Cleanup			1					0	1970429	2018-06-28	12:23 PM	1773884	JoJourdan@example.com	Jo	Jourdan	(858) 555-5209	
San Diego Startup Week 2018	Adobe Creative Jam Support	Downtown Works	The Thursday shift is located at Moniker Warehouse while the Friday shift is located at Downtown Works.	0.00	2018-06-29	11:45 PM	2018-06-30	02:00 PM	Setup, Registration, Cleanup			1					0	1971900	2018-06-28	11:51 PM	1774392	FlorenciaFlavin@example.com	Florencia	Flavin	(920) 555-6329	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	07:00 AM	2018-06-25	12:30 PM				1					0	1928267	2018-06-06	06:52 PM	1752515	LorrettaLiberto@example.com				
